sensorId,lat,lon,boxName,boxId,exposure,unit,phenomenon,luftdruck_2018-11-11T23Z,luftdruck_2018-11-12T00Z,luftdruck_2018-11-12T01Z,luftdruck_2018-11-12T02Z,luftdruck_2018-11-12T03Z,luftdruck_2018-11-12T04Z,luftdruck_2018-11-12T05Z,luftdruck_2018-11-12T06Z,luftdruck_2018-11-12T07Z,luftdruck_2018-11-12T08Z,luftdruck_2018-11-12T09Z,luftdruck_2018-11-12T10Z,luftdruck_2018-11-12T11Z,luftdruck_2018-11-12T12Z,luftdruck_2018-11-12T13Z,luftdruck_2018-11-12T14Z,luftdruck_2018-11-12T15Z,luftdruck_2018-11-12T16Z,luftdruck_2018-11-12T17Z,luftdruck_2018-11-12T18Z,luftdruck_2018-11-12T19Z,luftdruck_2018-11-12T20Z,luftdruck_2018-11-12T21Z,luftdruck_2018-11-12T22Z,luftdruck_2018-11-12T23Z,luftdruck_2018-11-13T00Z
56957f3ab3de1fe0052532de,51.957090029248754,7.640642523765564,WG Wolbecker Str.,56957f3ab3de1fe0052532da,outdoor,hPa,Luftdruck,1006.3763503649635,1006.4317391304347,1006.9405797101448,1006.7221739130435,1006.5295620437955,1007.1089130434782,1006.7341304347826,1006.6840875912409,1006.9168840579711,1006.4045985401459,1006.0661764705883,1005.8216346153846,1005.876,1005.9554014598541,1006.129347826087,1006.8584057971013,1007.6269565217391,1008.5280291970803,1009.7467391304347,1010.5612318840581,1011.0674452554744,1011.6152898550724,1011.7584782608697,1011.9577372262773,1012.4394202898552,1012.4316666666667
57000b8745fd40c8196ad050,51.962372,7.64568,Oststr/Mauritzsteinpfad,57000b8745fd40c8196ad04c,outdoor,hPa,Luftdruck,1006.1333333333333,1006.2049999999999,1006.7092307692308,1006.4625,1006.3183333333333,1006.8708333333334,1006.5216666666666,1006.4233333333333,1006.6638461538461,1006.1550000000001,1005.785,1005.4691666666666,1005.5425,1005.6475,1005.88,1006.6346153846154,1007.4466666666667,1008.2966666666666,1009.5075,1010.3116666666666,1010.8091666666666,1011.4092307692307,1011.5383333333334,1011.7558333333333,1012.2375000000001,1012.2191666666666
5750220bed08f9680c6b4158,51.95616769306822,7.6511693559587,BalkonBox Mindener Str.,5750220bed08f9680c6b4154,outdoor,hPa,Luftdruck,1005.974,1006.0453333333334,1006.5151666666667,1006.2675,1006.1208333333333,1006.6778333333333,1006.3033333333333,1006.2186666666668,1006.471,1005.9693333333333,1005.6016666666667,1005.3066666666667,1005.3811666666667,1005.4976666666666,1005.6773333333333,1006.4415,1007.2323333333334,1008.1346666666667,1009.3236666666667,1010.1313333333333,1010.6275,1011.1868333333333,1011.3221666666667,1011.5228333333333,1011.9816666666667,1011.9718333333333
5852edf116c08e000fd2076b,51.857716,7.490391,K4 Senden,5852edf116c08e000fd20768,outdoor,hPa,Luftdruck,1005.1492857142857,1005.0939130434782,1005.5671428571428,1005.3169999999999,1005.1923728813559,1005.7199999999999,1005.4211428571429,1005.3318604651162,1005.4269696969695,1004.9623529411765,1004.6055555555555,1004.4074074074074,1004.4855172413794,1004.6279310344827,1004.9055555555556,1005.6758620689654,1006.4658620689654,1007.3988679245283,1008.6238181818181,1009.3917241379311,1009.9012068965517,1010.5027777777779,1010.5400000000001,1010.7340740740741,1011.145,1011.0139999999999
58932c89d038b000102f7d38,52.001647,7.614025,KiTa Glühwürmchen,58932c89d038b000102f7d35,outdoor,hPa,Luftdruck,1007.1507692307691,1007.2460377358491,1007.7838461538462,1007.571923076923,1007.3979245283019,1007.9940384615385,1007.5699999999999,1007.5067924528302,1007.7625,1007.2724528301887,1006.9188235294117,1006.7011538461538,1006.8076923076923,1006.899423076923,1007.1543396226415,1007.7240384615385,1008.5290566037736,1009.4313461538461,1010.6375,1011.411320754717,1011.9528846153846,1012.4545283018867,1012.5348076923076,1012.7526923076923,1013.2164150943396,1013.198076923077
593bcd656ccf3b0011791f5d,51.960868,7.604288,CYBER Box,593bcd656ccf3b0011791f5a,outdoor,hPa,Luftdruck,1006.1431111111111,1006.1827118644068,1006.6627118644068,1006.4526666666666,1006.269,1006.8745,1006.4681355932204,1006.4057407407407,1006.6344999999999,1006.1113461538462,1005.7777777777778,1005.4870454545454,1005.5928813559321,1005.7049122807017,1005.9247916666667,1006.6305555555555,1007.4024999999999,1008.3666666666667,1009.4737735849056,1010.3742307692307,1010.8694545454546,1011.3596666666667,1011.5881818181817,,,
599449ce7e280a00106ee97b,51.900733,7.42708,WL42home,599449ce7e280a00106ee978,outdoor,hPa,Luftdruck,1006.625,1006.7228571428572,1007.0942857142857,1006.8724390243901,1006.7439024390244,1007.2476190476191,1006.8628571428571,1006.842619047619,1007.0468292682926,1006.5842857142858,1006.2517073170732,1006.1504761904762,1006.1652380952381,1006.319024390244,1006.6088095238096,1007.2646341463415,1008.0914285714287,1008.9916666666667,1010.1853658536585,1010.9612195121952,1011.5266666666668,1012.0638095238095,1012.107619047619,1012.2660975609757,1012.7807142857143,1012.7624390243903
59c67b5ed67eb50011666dbe,51.946322,7.62677,kartoffelsalat,59c67b5ed67eb50011666dbb,outdoor,hPa,Luftdruck,1005.7166666666667,1005.7616071428572,1006.2213333333333,1005.9862711864407,1005.87,1006.376,1006.016888888889,,,,,,,,,,,,,,,,,,,
59dcdbb400190a00115d2179,51.958065,7.619512,Grünspar,59dcdbb400190a00115d2174,outdoor,hPa,Luftdruck,1007.2156666666667,1007.2873333333333,1007.7206666666666,1007.4525,1007.2778333333333,1007.8616666666666,1007.4543333333334,1007.4125,1007.6433333333333,1007.1384999999999,1006.7998275862069,1006.5426666666666,1006.6296666666666,1006.7506666666667,1006.9495000000001,1007.6871666666666,1008.5063333333333,1009.4093333333333,1010.5998333333333,1011.4041666666667,1011.9298333333334,1012.4555,1012.529,1012.7418333333334,1013.2413793103449,1013.1623333333333
5a0c15289fd3c200110f3d38,51.953351,7.641463,Wetterstation Hansaring,5a0c15289fd3c200110f3d33,outdoor,hPa,Luftdruck,1006.8783333333333,1006.9306666666666,1007.4146666666667,1007.2125,1007.0546666666667,1007.6098333333333,1007.2231666666667,1007.1415,1007.3883333333334,1006.8813333333333,1006.5120000000001,1006.2636666666666,1006.3505,1006.4694999999999,1006.633,1007.3598333333333,1008.1388333333333,1009.0701666666666,1010.2886666666667,1011.0946666666666,1011.5896666666666,1012.1501666666667,1012.2543333333334,1012.4431666666667,1012.9101666666667,1012.9023333333333
