sensorId,lat,lon,boxName,boxId,exposure,unit,phenomenon,2018-11-11T23Z,2018-11-12T00Z,2018-11-12T01Z,2018-11-12T02Z,2018-11-12T03Z,2018-11-12T04Z,2018-11-12T05Z,2018-11-12T06Z,2018-11-12T07Z,2018-11-12T08Z,2018-11-12T09Z,2018-11-12T10Z,2018-11-12T11Z,2018-11-12T12Z,2018-11-12T13Z,2018-11-12T14Z,2018-11-12T15Z,2018-11-12T16Z,2018-11-12T17Z,2018-11-12T18Z,2018-11-12T19Z,2018-11-12T20Z,2018-11-12T21Z,2018-11-12T22Z,2018-11-12T23Z,2018-11-13T00Z
5a0c30489fd3c20011115fbc,51.970725,7.631443,Nordschänke,5a0c30489fd3c20011115fb7,outdoor,hPa,Luftdruck,1007.013333,1007.071667,1007.566833,1007.343898,1007.158167,1007.731667,1007.346,1007.276333,1007.535333,1007.0595,1006.686833,1006.418,1006.502333,1006.6105,1006.817705,1007.525,1008.339167,1009.218333,1010.393,1011.169833,1011.712833,1012.249167,1012.338667,1012.578333,1013.053333,1013.048333
5a0c347b9fd3c2001111b706,51.921125,7.620665,VennheideBox,5a0c347b9fd3c2001111b701,outdoor,hPa,Luftdruck,1006.941667,1006.984333,1007.427667,1007.201667,1007.056833,1007.586,1007.223833,1007.1505,1007.367586,1006.8575,1006.501,1006.235833,1006.322833,1006.4375,1006.657333,1007.403833,1008.169,1009.084167,1010.312833,1011.145667,1011.669,1012.232167,1012.335,1012.493607,1012.961167,1012.929833
5a30ea5375a96c000f012fe5,51.951978,7.628977,Münster Süd,5a30ea5375a96c000f012fe0,outdoor,hPa,Luftdruck,1005.582333,1005.646667,1006.1055,1005.874333,1005.728667,1006.267667,1005.895,1005.870667,1006.121167,1005.610167,1005.255965,1004.948833,1005.020339,1005.083667,1005.309667,1006.075,1006.836,1007.75,1008.962667,1009.798,1010.325,1010.868667,1010.946333,1011.175667,1011.675,1011.661667
5a66fa43411a7900191d2adc,51.857703,7.490122,FS-Kam,5a66fa43411a7900191d2ad7,indoor,hPa,Luftdruck,1007.043077,1007.077667,1007.45,1007.228305,1007.045455,1007.573966,1007.2305,1007.09875,,1006.760714,1006.562727,1006.336667,1006.407627,1006.525,1006.794808,1007.488696,1244.470588,1009.463333,0,0,0,0,0,0,0,0
5a809753398b820011b45e86,51.953156,7.544077,Jackson Storm,5a809753398b820011b45e83,outdoor,hPa,Luftdruck,1005.939333,1006.0565,1006.468333,1006.238333,1006.092667,1006.662167,1006.254,1006.239,1006.463833,1005.9745,1005.583167,1005.370167,1005.47,1005.596333,1005.853833,1006.501,1007.325833,1008.210667,1009.429322,1010.213167,1010.764167,1011.287833,1011.349667,1011.567333,1012.0685,1012.022333
5ab3dd50850005001bd25b58,51.972139,7.642386,Wetterfuchs home,5ab3dd50850005001bd25b55,outdoor,hPa,Luftdruck,0,0,0,0,0,0,1007.395,1007.355,1007.628537,1007.122381,1006.789524,1006.511951,1006.581429,1006.674762,1006.873171,1007.605,1008.368333,1009.292381,1010.453659,1011.235952,1011.777857,1012.333659,1012.415476,1012.628333,,
5b2cc9471fef04001b7b4b42,51.928442,7.667642,TTN Device 1,5b2cc9471fef04001b7b4b3f,outdoor,hPa,Luftdruck,300.2555556,300.2555556,300.2,300.1454545,300.19,300.2333333,300.3333333,300.2909091,300.46,300.5,300.4636364,300.4909091,300.5181818,300.56,300.7375,300.88,301.24,301.5333333,301.57,301.5222222,301.7833333,301.6555556,301.7,301.7272727,302.2181818,302.79
5b34f1491fef04001bd0c00b,51.967925,7.61823,WetterKarlchen,5b34f1491fef04001bd0c006,outdoor,hPa,Luftdruck,1006.124737,1006.264242,1006.657358,1006.460909,0,0,0,0,0,0,0,0,0,0,0,0,1007.8225,1008.466415,1009.576552,1010.362727,1011.027692,1011.215,,1011.745526,1012.249231,1012.260286
5b3df6905dc1ec001bcb37a6,51.981769,7.654102,PGKN Test,5b3df6905dc1ec001bcb37a1,outdoor,hPa,Luftdruck,1006.569,1006.6515,1007.197167,1006.978833,1006.785,1007.366333,1006.988333,1006.921803,1007.1685,1006.676167,1006.306667,1006.0585,1006.1435,1006.221333,1006.434333,1007.110833,1007.898393,1008.885714,1009.990833,1010.7865,1011.322131,1011.876833,1011.972833,1012.179167,1012.654167,1012.652167
5b3e7f6f5dc1ec001be11cf2,51.994149,7.569078,U6B GTÜ SSH Bölling & Partner,5b3e7f6f5dc1ec001be11cf1,outdoor,Pa,Luftdruck,100534.9558,100549.8762,100600.5574,100577.3154,100560.4896,100618.7471,100576.4954,100571.1517,100598.8696,100544.6763,100505.815,100481.2046,100490.4975,100500.3333,100528.6425,100587.7617,100670.4704,100761.7533,100880.4954,100957.3642,101015.2283,101068.9788,101074.6912,101097.505,101146.1142,101143.86
5bbcca7ebc400c001b800594,51.949959,7.624833,Der Kaffeefreund,5bbcca7ebc400c001b80058f,outdoor,hPa,Luftdruck,0,0,0,0,0,0,0,1007.25,1007.315909,1006.842857,1006.497619,1006.244186,1006.219149,1006.346939,1006.44375,1007.15,1007.895745,1008.352632,0,0,0,0,0,0,0,0
5bd46cdcc74cf4001bd3361c,51.993416,7.54397,Nienberge Garten,5bd46cdcc74cf4001bd33617,outdoor,hPa,Luftdruck,1004.801833,1004.885333,1005.322833,1005.0865,1004.9555,1005.510667,1005.066333,1005.035667,1005.297,1004.85,1004.507,1004.275833,1004.351333,1004.470333,1004.7555,1005.337167,1006.151167,1007.021167,1008.243833,1009.021667,1009.590667,1010.0725,1010.120833,1010.297833,1010.8045,1010.798667
5be58bb6cdfcd0001c1bff04,51.951764,7.627666,Holzbox,5be58bb6cdfcd0001c1bfeff,outdoor,hPa,Luftdruck,1005.743,1005.795167,1006.297667,1006.042833,1005.863,1006.467833,1006.0555,1006.027833,1006.235667,1005.714667,1005.3545,1005.072167,1005.172667,1005.256333,1005.508833,1006.251833,1007.0375,1007.968,1009.184333,1009.987333,1010.504667,1011.00725,0,0,0,0
